Seq	nItem	prod.indTot	prod.qCom	prod.uCom	prod.vProd	prod.vUnCom	prod.xProd
240	1	1	0.498	KG	34.16	68.6	BUFFET
240	2	1	3	UN	13.5	4.5	REFRIGERANTE
240	3	1	1	UN	12.8	12.8	CERVEJA
241	1	1	0.484	KG	33.2	68.6	BUFFET
242	1	1	0.186	KG	12.75	68.6	BUFFET
243	1	1	1	UN	23.8	23.8	SUSHI ESPECIAL
243	2	1	0.658	KG	45.13	68.6	BUFFET
243	3	1	3	UN	13.5	4.5	REFRIGERANTE
243	4	1	3	UN	13.5	4.5	REFRIGERANTE
243	5	1	3	UN	13.5	4.5	REFRIGERANTE
243	6	1	1	UN	12	12	SOBREMESA
244	1	1	0.328	KG	22.5	68.6	BUFFET
244	2	1	3	UN	13.5	4.5	REFRIGERANTE
245	1	1	1	UN	7.2	7.2	HARUMAKI
245	2	1	1	UN	20.9	20.9	SAKE
245	3	1	1	UN	8	8	SOBREMESA
245	4	1	0.138	KG	9.46	68.6	BUFFET
245	5	1	3	UN	13.5	4.5	SUCO
246	1	1	1	UN	3.5	3.5	AGUA
246	2	1	0.312	KG	21.4	68.6	BUFFET
247	1	1	1.236	KG	84.78	68.6	BUFFET
248	1	1	1	UN	3.5	3.5	AGUA
248	2	1	2	UN	2	1	CHA
248	3	1	0.996	KG	68.32	68.6	BUFFET
248	4	1	1	UN	4.5	4.5	REFRIGERANTE
249	1	1	1	UN	3.5	3.5	AGUA
249	2	1	0.728	KG	49.94	68.6	BUFFET
249	3	1	1	UN	4.5	4.5	REFRIGERANTE
250	1	1	1	UN	3.5	3.5	AGUA
250	2	1	0.824	KG	56.52	68.6	BUFFET
250	3	1	1	UN	4.5	4.5	REFRIGERANTE
251	1	1	1.55	KG	105.98	68.6	BUFFET
251	2	1	2	UN	9	4.5	REFRIGERANTE
251	3	1	2	UN	9	4.5	REFRIGERANTE
252	1	1	0.728	KG	49.94	68.6	BUFFET
253	1	1	0.45	KG	30.87	68.6	BUFFET
254	1	1	2	UN	7	3.5	AGUA
254	2	1	1.03	KG	70.57	68.6	BUFFET
254	3	1	2	UN	9	4.5	REFRIGERANTE
255	1	1	0.398	KG	27.3	68.6	BUFFET
255	2	1	1	UN	4.5	4.5	REFRIGERANTE
256	1	1	0.704	KG	48.29	68.6	BUFFET
256	2	1	1	UN	4.5	4.5	REFRIGERANTE
257	1	1	0.412	KG	28.26	68.6	BUFFET
258	1	1	0.578	KG	39.65	68.6	BUFFET
258	2	1	1	UN	4.5	4.5	REFRIGERANTE
259	1	1	1	UN	3.5	3.5	AGUA
259	2	1	0.784	KG	53.78	68.6	BUFFET
260	1	1	0.476	KG	32.65	68.6	BUFFET
260	2	1	1	UN	4.5	4.5	REFRIGERANTE
261	1	1	0.422	KG	28.94	68.6	BUFFET
261	2	1	1	UN	4.5	4.5	SUCO
262	1	1	0.492	KG	33.75	68.6	BUFFET
263	1	1	0.778	KG	53.37	68.6	BUFFET
264	1	1	1	UN	4.5	4.5	SUCO
264	2	1	0.57	KG	38.89	68.6	BUFFET
265	1	1	1	UN	4.5	4.5	SUCO
265	2	1	0.218	KG	14.95	68.6	BUFFET
266	1	1	1	UN	4.5	4.5	SUCO
266	2	1	1	UN	4.5	4.5	LIMONADA
266	3	1	1.2	KG	82.32	68.6	BUFFET
266	4	1	1	UN	3.2	3.2	DOCINHOS
267	1	1	0.406	KG	27.85	68.6	BUFFET
267	2	1	1	UN	4.5	4.5	REFRIGERANTE
268	1	1	0.332	KG	22.77	68.6	BUFFET
268	2	1	1	UN	4.5	4.5	REFRIGERANTE
269	1	1	0.864	KG	59.27	68.6	BUFFET
270	1	1	0.306	KG	20.99	68.6	BUFFET
271	1	1	0.4	KG	27.44	68.6	BUFFET
272	1	1	0.376	KG	25.79	68.6	BUFFET
272	2	1	1	UN	4.5	4.5	REFRIGERANTE
273	1	1	1	UN	4.5	4.5	LIMONADA
273	2	1	0.374	KG	25.65	68.6	BUFFET
274	1	1	0.514	KG	35.26	68.6	BUFFET
275	1	1	1	UN	3.5	3.5	AGUA
275	2	1	0.272	KG	18.65	68.6	BUFFET
276	1	1	1	UN	3.5	3.5	AGUA
276	2	1	0.292	KG	20.03	68.6	BUFFET
277	1	1	0.328	KG	22.5	68.6	BUFFET
277	2	1	1	UN	4.5	4.5	REFRIGERANTE
278	1	1	1	UN	3.5	3.5	AGUA
278	2	1	0.494	KG	33.88	68.6	BUFFET
279	1	1	1	UN	3.5	3.5	AGUA
279	2	1	0.406	KG	27.85	68.6	BUFFET
280	1	1	1	UN	3.5	3.5	AGUA
280	2	1	0.518	KG	35.53	68.6	BUFFET
281	1	1	1	UN	3.5	3.5	AGUA
281	2	1	0.39	KG	26.75	68.6	BUFFET
282	1	1	1	UN	3.5	3.5	AGUA
282	2	1	0.392	KG	26.89	68.6	BUFFET
283	1	1	1	UN	3.5	3.5	AGUA
283	2	1	0.578	KG	39.65	68.6	BUFFET
284	1	1	0.636	KG	43.62	68.6	BUFFET
284	2	1	1	UN	4.5	4.5	REFRIGERANTE
285	1	1	0.414	KG	28.4	68.6	BUFFET
285	2	1	1	UN	4.5	4.5	REFRIGERANTE
286	1	1	0.324	KG	22.22	68.6	BUFFET
286	2	1	1	UN	4.5	4.5	REFRIGERANTE
287	1	1	0.792	KG	54.33	68.6	BUFFET
287	2	1	1	UN	4.5	4.5	REFRIGERANTE
288	1	1	0.45	KG	30.87	68.6	BUFFET
289	1	1	0.454	KG	31.14	68.6	BUFFET
290	1	1	0.514	KG	35.26	68.6	BUFFET
291	1	1	0.226	KG	15.5	68.6	BUFFET
291	2	1	1	UN	4.5	4.5	REFRIGERANTE
292	1	1	0.322	KG	22.08	68.6	BUFFET
292	2	1	1	UN	4.5	4.5	CERVEJA
293	1	1	0.378	KG	25.93	68.6	BUFFET
294	1	1	0.538	KG	36.9	68.6	BUFFET
294	2	1	1	UN	4.5	4.5	REFRIGERANTE
295	1	1	1	UN	3.5	3.5	AGUA
295	2	1	1	UN	1	1	CHA
295	3	1	0.458	KG	31.41	68.6	BUFFET
296	1	1	1	UN	3.5	3.5	CAFE EXPRESSO
296	2	1	0.782	KG	53.64	68.6	BUFFET
296	3	1	1	UN	4.5	4.5	REFRIGERANTE
296	4	1	2	UN	6.4	3.2	DOCINHOS
297	1	1	0.8	KG	54.88	68.6	BUFFET
297	2	1	1	UN	4.5	4.5	REFRIGERANTE
297	3	1	1	UN	4.5	4.5	REFRIGERANTE
298	1	1	1	UN	3.5	3.5	AGUA
298	2	1	0.516	KG	35.39	68.6	BUFFET
299	1	1	0.264	KG	18.11	68.6	BUFFET
300	1	1	0.764	KG	52.41	68.6	BUFFET
300	2	1	1	UN	4.5	4.5	REFRIGERANTE
301	1	1	1	UN	21.6	21.6	SASHIMI
301	2	1	0.718	KG	49.25	68.6	BUFFET
301	3	1	1	UN	6.5	6.5	CERVEJA LATA
302	1	1	0.518	KG	35.53	68.6	BUFFET
302	2	1	1	UN	4.5	4.5	REFRIGERANTE
303	1	1	1	UN	3.5	3.5	AGUA
303	2	1	0.4	KG	27.44	68.6	BUFFET
304	1	1	1	UN	3.5	3.5	AGUA
304	2	1	0.406	KG	27.85	68.6	BUFFET
304	3	1	1	UN	4.5	4.5	REFRIGERANTE
305	1	1	1	UN	4.5	4.5	SUCO
305	2	1	0.126	KG	8.64	68.6	BUFFET
306	1	1	0.344	KG	23.59	68.6	BUFFET
306	2	1	1	UN	4.5	4.5	REFRIGERANTE
307	1	1	1	UN	4.5	4.5	SUCO
307	2	1	0.544	KG	37.31	68.6	BUFFET
308	1	1	0.424	KG	29.08	68.6	BUFFET
308	2	1	1	UN	4.5	4.5	REFRIGERANTE
308	3	1	1	UN	3.2	3.2	DOCINHOS
309	1	1	0.388	KG	26.61	68.6	BUFFET
309	2	1	1	UN	4.5	4.5	REFRIGERANTE
310	1	1	0.732	KG	50.21	68.6	BUFFET
311	1	1	1	UN	4.5	4.5	LIMONADA
311	2	1	0.442	KG	30.32	68.6	BUFFET
312	1	1	2	UN	9	4.5	SUCO
312	2	1	0.62	KG	42.53	68.6	BUFFET
313	1	1	1	UN	3.5	3.5	AGUA
313	2	1	0.284	KG	19.48	68.6	BUFFET
314	1	1	1	UN	3.5	3.5	AGUA
314	2	1	0.586	KG	40.19	68.6	BUFFET
315	1	1	0.308	KG	21.12	68.6	BUFFET
315	2	1	1	UN	8.2	8.2	BULE CHA
316	1	1	1	UN	3.5	3.5	AGUA
316	2	1	0.756	KG	51.86	68.6	BUFFET
316	3	1	1	UN	4.5	4.5	CERVEJA
317	1	1	0.374	KG	25.65	68.6	BUFFET
317	2	1	1	UN	8.2	8.2	BULE CHA
318	1	1	0.308	KG	21.12	68.6	BUFFET
319	1	1	0.502	KG	34.43	68.6	BUFFET
319	2	1	1	UN	4.5	4.5	REFRIGERANTE
320	1	1	1	UN	6.5	6.5	SUSHI ESPECIAL
320	2	1	1.422	KG	97.54	68.6	BUFFET
321	1	1	1	UN	3.5	3.5	AGUA
321	2	1	0.432	KG	29.63	68.6	BUFFET
322	1	1	0.432	KG	29.63	68.6	BUFFET
323	1	1	0.422	KG	28.94	68.6	BUFFET
323	2	1	1	UN	4.5	4.5	SUCO
324	1	1	0.49	KG	33.61	68.6	BUFFET
324	2	1	1	UN	4.5	4.5	REFRIGERANTE
325	1	1	0.366	KG	25.1	68.6	BUFFET
325	2	1	1	UN	4.5	4.5	REFRIGERANTE
326	1	1	1	UN	4.5	4.5	SUCO
326	2	1	0.366	KG	25.1	68.6	BUFFET
327	1	1	0.278	KG	19.07	68.6	BUFFET
328	1	1	0.534	KG	36.63	68.6	BUFFET
329	1	1	0.4	KG	27.44	68.6	BUFFET
329	2	1	1	UN	4.5	4.5	REFRIGERANTE
330	1	1	1	UN	4.5	4.5	SUCO
330	2	1	0.29	KG	19.89	68.6	BUFFET
331	1	1	1	UN	3.5	3.5	AGUA
331	2	1	0.486	KG	33.33	68.6	BUFFET
332	1	1	1	UN	3.5	3.5	AGUA
332	2	1	0.804	KG	55.15	68.6	BUFFET
333	1	1	0.534	KG	36.63	68.6	BUFFET
333	2	1	1	UN	4.5	4.5	SUCO
334	1	1	1	UN	4.5	4.5	SUCO
334	2	1	1	UN	3.5	3.5	AGUA
334	3	1	2.236	KG	153.38	68.6	BUFFET
334	4	1	1	UN	4.5	4.5	REFRIGERANTE
334	5	1	1	UN	4.5	4.5	REFRIGERANTE
335	1	1	2	UN	13	6.5	SUSHI ESPECIAL
335	2	1	0.41	KG	28.12	68.6	BUFFET
336	1	1	0.508	KG	34.84	68.6	BUFFET
336	2	1	1	UN	4.5	4.5	REFRIGERANTE
337	1	1	1	UN	4.5	4.5	SUCO
337	2	1	0.706	KG	48.43	68.6	BUFFET
338	1	1	0.602	KG	41.29	68.6	BUFFET
339	1	1	0.314	KG	21.54	68.6	BUFFET
339	2	1	1	UN	4.5	4.5	REFRIGERANTE
340	1	1	2	UN	9	4.5	SUCO
340	2	1	1	UN	4.5	4.5	LIMONADA
340	3	1	1.546	KG	106.05	68.6	BUFFET
340	4	1	1	UN	4.5	4.5	REFRIGERANTE
341	1	1	0.5	KG	34.37	68.6	BUFFET
341	2	1	2	UN	9	4.5	REFRIGERANTE
342	1	1	0.526	KG	36.08	68.6	BUFFET
343	1	1	0.766	KG	52.54	68.6	BUFFET
343	2	1	1	UN	4.5	4.5	REFRIGERANTE
344	1	1	0.364	KG	24.97	68.6	BUFFET
344	2	1	1	UN	4.5	4.5	REFRIGERANTE
345	1	1	0.388	KG	26.61	68.6	BUFFET
345	2	1	1	UN	4.5	4.5	REFRIGERANTE
346	1	1	0.46	KG	31.28	68.6	BUFFET
346	2	1	2	UN	9	4.5	REFRIGERANTE
347	1	1	0.492	KG	33.75	68.6	BUFFET
347	2	1	1	UN	4.5	4.5	REFRIGERANTE
348	1	1	2	UN	7	3.5	AGUA
348	2	1	0.51	KG	34.98	68.6	BUFFET
349	1	1	0.594	KG	40.74	68.6	BUFFET
349	2	1	1	UN	4.5	4.5	REFRIGERANTE
350	1	1	0.582	KG	39.92	68.6	BUFFET
351	1	1	0.534	KG	36.63	68.6	BUFFET
351	2	1	1	UN	4.5	4.5	REFRIGERANTE
352	1	1	0.342	KG	23.46	68.6	BUFFET
352	2	1	1	UN	4.5	4.5	REFRIGERANTE
353	1	1	0.766	KG	52.54	68.6	BUFFET
353	2	1	1	UN	4.5	4.5	REFRIGERANTE
354	1	1	0.538	KG	36.9	68.6	BUFFET
354	2	1	1	UN	4.5	4.5	REFRIGERANTE
354	3	1	1	UN	4.5	4.5	REFRIGERANTE
355	1	1	0.326	KG	22.36	68.6	BUFFET
355	2	1	1	UN	4.5	4.5	REFRIGERANTE
356	1	1	0.428	KG	29.36	68.6	BUFFET
356	2	1	1	UN	4.5	4.5	REFRIGERANTE
357	1	1	0.488	KG	33.47	68.6	BUFFET
357	2	1	1	UN	4.5	4.5	REFRIGERANTE
358	1	1	0.292	KG	20.03	68.6	BUFFET
358	2	1	1	UN	4.5	4.5	REFRIGERANTE
359	1	1	0.944	KG	64.75	68.6	BUFFET
359	2	1	1	UN	4.5	4.5	CERVEJA
360	1	1	0.9	KG	61.74	68.6	BUFFET
360	2	1	1	UN	4.5	4.5	REFRIGERANTE
360	3	1	1	UN	4.5	4.5	REFRIGERANTE
361	1	1	1	UN	4.5	4.5	SUCO
361	2	1	0.696	KG	47.74	68.6	BUFFET
361	3	1	1	UN	4.5	4.5	REFRIGERANTE
362	1	1	0.482	KG	33.06	68.6	BUFFET
362	2	1	1	UN	4.5	4.5	REFRIGERANTE
363	1	1	1	UN	3.5	3.5	AGUA
363	2	1	0.654	KG	44.86	68.6	BUFFET
363	3	1	1	UN	4.5	4.5	REFRIGERANTE
364	1	1	0.636	KG	43.62	68.6	BUFFET
364	2	1	1	UN	4.5	4.5	REFRIGERANTE
364	3	1	1	UN	4.5	4.5	REFRIGERANTE
365	1	1	0.412	KG	28.26	68.6	BUFFET
365	2	1	1	UN	4.5	4.5	REFRIGERANTE
366	1	1	0.448	KG	30.73	68.6	BUFFET
367	1	1	0.418	KG	28.67	68.6	BUFFET
367	2	1	1	UN	4.5	4.5	REFRIGERANTE
368	1	1	0.322	KG	22.08	68.6	BUFFET
368	2	1	1	UN	4.5	4.5	REFRIGERANTE
369	1	1	0.464	KG	31.83	68.6	BUFFET
370	1	1	1	UN	3.5	3.5	AGUA
370	2	1	0.824	KG	56.52	68.6	BUFFET
371	1	1	0.298	KG	20.44	68.6	BUFFET
371	2	1	1	UN	4.5	4.5	REFRIGERANTE
372	1	1	1	UN	3.5	3.5	AGUA
372	2	1	0.31	KG	21.26	68.6	BUFFET
373	1	1	1	UN	3.5	3.5	AGUA
373	2	1	1.08	KG	74.08	68.6	BUFFET
374	1	1	1	UN	3.5	3.5	AGUA
374	2	1	0.74	KG	50.76	68.6	BUFFET
374	3	1	1	UN	4.5	4.5	REFRIGERANTE
375	1	1	1	UN	3.5	3.5	AGUA
375	2	1	0.578	KG	39.65	68.6	BUFFET
376	1	1	1	UN	3.5	3.5	AGUA
376	2	1	1.248	KG	85.61	68.6	BUFFET
376	3	1	1	UN	4.5	4.5	REFRIGERANTE
377	1	1	0.5	KG	34.3	68.6	BUFFET
377	2	1	1	UN	4.5	4.5	REFRIGERANTE
378	1	1	1	UN	3.5	3.5	AGUA
378	2	1	0.582	KG	39.92	68.6	BUFFET
379	1	1	0.328	KG	22.5	68.6	BUFFET
379	2	1	1	UN	4.5	4.5	REFRIGERANTE
380	1	1	0.254	KG	17.42	68.6	BUFFET
380	2	1	1	UN	4.5	4.5	REFRIGERANTE
381	1	1	1	UN	4.5	4.5	SUCO
381	2	1	0.438	KG	30.04	68.6	BUFFET
382	1	1	0.578	KG	39.65	68.6	BUFFET
382	2	1	1	UN	4.5	4.5	REFRIGERANTE
383	1	1	0.518	KG	35.53	68.6	BUFFET
384	1	1	0.418	KG	28.67	68.6	BUFFET
385	1	1	0.332	KG	22.77	68.6	BUFFET
385	2	1	1	UN	4.5	4.5	REFRIGERANTE
386	1	1	0.33	KG	22.63	68.6	BUFFET
386	2	1	1	UN	4.5	4.5	REFRIGERANTE
387	1	1	1	UN	3.5	3.5	AGUA
387	2	1	0.424	KG	29.08	68.6	BUFFET
388	1	1	1	UN	3.5	3.5	AGUA
388	2	1	0.252	KG	17.28	68.6	BUFFET
389	1	1	1	UN	4.5	4.5	SUCO
389	2	1	0.216	KG	14.81	68.6	BUFFET
390	1	1	0.392	KG	26.89	68.6	BUFFET
390	2	1	1	UN	4.5	4.5	REFRIGERANTE
391	1	1	0.56	KG	38.41	68.6	BUFFET
392	1	1	0.274	KG	18.79	68.6	BUFFET
393	1	1	0.694	KG	47.6	68.6	BUFFET
393	2	1	1	UN	4.5	4.5	REFRIGERANTE
394	1	1	0.724	KG	49.66	68.6	BUFFET
394	2	1	1	UN	4.5	4.5	REFRIGERANTE
394	3	1	1	UN	4.5	4.5	REFRIGERANTE
395	1	1	0.596	KG	40.88	68.6	BUFFET
396	1	1	1	UN	3.5	3.5	AGUA
396	2	1	0.236	KG	16.18	68.6	BUFFET
397	1	1	1	UN	3.5	3.5	AGUA
397	2	1	0.42	KG	28.81	68.6	BUFFET
398	1	1	1	UN	4.5	4.5	SUCO
398	2	1	1	UN	3.5	3.5	AGUA
398	3	1	1.112	KG	76.28	68.6	BUFFET
398	4	1	1	UN	4.5	4.5	REFRIGERANTE
399	1	1	0.702	KG	48.15	68.6	BUFFET
400	1	1	1	UN	3.5	3.5	AGUA
400	2	1	0.676	KG	46.37	68.6	BUFFET
401	1	1	1	UN	3.5	3.5	AGUA
401	2	1	1.198	KG	82.18	68.6	BUFFET
401	3	1	1	UN	4.5	4.5	REFRIGERANTE
402	1	1	2	UN	7	3.5	AGUA
402	2	1	0.71	KG	48.77	68.6	BUFFET
403	1	1	1	UN	3.5	3.5	AGUA
403	2	1	1.232	KG	84.51	68.6	BUFFET
403	3	1	1	UN	4.5	4.5	REFRIGERANTE
404	1	1	0.526	KG	36.08	68.6	BUFFET
405	1	1	1	UN	3.5	3.5	AGUA
405	2	1	0.61	KG	41.84	68.6	BUFFET
406	1	1	0.86	KG	58.85	68.6	BUFFET
406	2	1	2	UN	9	4.5	REFRIGERANTE
407	1	1	1.074	KG	73.67	68.6	BUFFET
407	2	1	1	UN	4.5	4.5	REFRIGERANTE
408	1	1	0.336	KG	23.04	68.6	BUFFET
409	1	1	0.37	KG	25.38	68.6	BUFFET
410	1	1	0.99	KG	67.91	68.6	BUFFET
411	1	1	0.418	KG	28.67	68.6	BUFFET
411	2	1	1	UN	4.5	4.5	REFRIGERANTE
412	1	1	0.47	KG	32.24	68.6	BUFFET
412	2	1	1	UN	4.5	4.5	REFRIGERANTE
413	1	1	0.832	KG	57.07	68.6	BUFFET
414	1	1	0.444	KG	30.45	68.6	BUFFET
415	1	1	1	UN	3.5	3.5	AGUA
415	2	1	0.67	KG	45.96	68.6	BUFFET
416	1	1	0.198	KG	13.58	68.6	BUFFET
417	1	1	0.432	KG	29.63	68.6	BUFFET
417	2	1	1	UN	4.5	4.5	REFRIGERANTE
418	1	1	0.49	KG	33.61	68.6	BUFFET
418	2	1	1	UN	4.5	4.5	REFRIGERANTE
418	3	1	1	UN	4.5	4.5	REFRIGERANTE
419	1	1	1	UN	3.5	3.5	AGUA
419	2	1	0.39	KG	26.75	68.6	BUFFET
420	1	1	1	UN	3.5	3.5	AGUA
420	2	1	0.35	KG	24.01	68.6	BUFFET
421	1	1	0.4	KG	27.44	68.6	BUFFET
421	2	1	1	UN	4.5	4.5	REFRIGERANTE
422	1	1	0.444	KG	30.45	68.6	BUFFET
423	1	1	2	UN	9	4.5	SUCO
423	2	1	0.798	KG	54.74	68.6	BUFFET
423	3	1	1	UN	4.5	4.5	REFRIGERANTE
424	1	1	1	UN	3.5	3.5	AGUA
424	2	1	0.646	KG	44.31	68.6	BUFFET
425	1	1	0.542	KG	37.18	68.6	BUFFET
425	2	1	1	UN	4.5	4.5	REFRIGERANTE
426	1	1	0.948	KG	65.03	68.6	BUFFET
426	2	1	1	UN	4.5	4.5	SUCO
427	1	1	0.792	KG	54.33	68.6	BUFFET
427	2	1	1	UN	4.5	4.5	SUCO
428	1	1	1	UN	3.5	3.5	AGUA
428	2	1	1.314	KG	90.14	68.6	BUFFET
428	3	1	1	UN	4.5	4.5	REFRIGERANTE
429	1	1	0.328	KG	22.5	68.6	BUFFET
429	2	1	1	UN	4.5	4.5	REFRIGERANTE
430	1	1	0.246	KG	16.87	68.6	BUFFET
430	2	1	1	UN	4.5	4.5	REFRIGERANTE
431	1	1	0.478	KG	32.79	68.6	BUFFET
432	1	1	0.398	KG	27.3	68.6	BUFFET
433	1	1	1	UN	4.9	4.9	SUCO
433	2	1	1.53	KG	104.95	68.6	BUFFET
433	3	1	1	UN	4.5	4.5	REFRIGERANTE
433	4	1	1	UN	4.5	4.5	REFRIGERANTE
434	1	1	1	UN	4.5	4.5	SUCO
434	2	1	1	UN	4.9	4.9	SUCO
434	3	1	2.552	KG	175.06	68.6	BUFFET
434	4	1	1	UN	6.5	6.5	CERVEJA LATA
435	1	1	0.394	KG	27.02	68.6	BUFFET
436	1	1	2	UN	7	3.5	AGUA
436	2	1	1.26	KG	86.43	68.6	BUFFET
437	1	1	0.54	KG	37.04	68.6	BUFFET
438	1	1	1	UN	3.5	3.5	AGUA
438	2	1	1.406	KG	96.45	68.6	BUFFET
438	3	1	1	UN	4.5	4.5	REFRIGERANTE
439	1	1	0.49	KG	33.61	68.6	BUFFET
440	1	1	1	UN	1	1	CHA
440	2	1	0.77	KG	52.82	68.6	BUFFET
440	3	1	1	UN	4.5	4.5	REFRIGERANTE
441	1	1	1.34	KG	91.92	68.6	BUFFET
441	2	1	1	UN	4.5	4.5	REFRIGERANTE
441	3	1	1	UN	4.5	4.5	REFRIGERANTE
442	1	1	1	UN	4.5	4.5	LIMONADA
442	2	1	1	UN	5.5	5.5	REFRIGERANTE
442	3	1	1.186	KG	81.35	68.6	BUFFET
443	1	1	0.826	KG	56.66	68.6	BUFFET
444	1	1	1	UN	3.5	3.5	AGUA
444	2	1	2	UN	2	1	CHA
444	3	1	1.232	KG	84.51	68.6	BUFFET
444	4	1	1	UN	4.5	4.5	REFRIGERANTE
445	1	1	1	UN	4.5	4.5	SUCO
445	2	1	1.004	KG	68.87	68.6	BUFFET
446	1	1	1	UN	3.5	3.5	AGUA
446	2	1	0.67	KG	45.96	68.6	BUFFET
447	1	1	0.616	KG	42.25	68.6	BUFFET
447	2	1	1	UN	4.5	4.5	REFRIGERANTE
448	1	1	1	UN	3.5	3.5	AGUA
448	2	1	1	UN	3.5	3.5	CAFE EXPRESSO
448	3	1	0.838	KG	57.48	68.6	BUFFET
448	4	1	2	UN	9	4.5	SUCO
449	1	1	1.188	KG	81.49	68.6	BUFFET
449	2	1	1	UN	4.5	4.5	CERVEJA
450	1	1	1	UN	3.5	3.5	AGUA
450	2	1	0.398	KG	27.3	68.6	BUFFET
451	1	1	1	UN	4.5	4.5	SUCO
451	2	1	0.41	KG	28.12	68.6	BUFFET
452	1	1	1	UN	4.5	4.5	SUCO
452	2	1	0.224	KG	15.36	68.6	BUFFET
453	1	1	1	UN	3.5	3.5	AGUA
453	2	1	1.15	KG	78.89	68.6	BUFFET
454	1	1	0.834	KG	57.21	68.6	BUFFET
455	1	1	0.49	KG	33.61	68.6	BUFFET
455	2	1	1	UN	4.5	4.5	REFRIGERANTE
456	1	1	0.56	KG	38.41	68.6	BUFFET
457	1	1	0.644	KG	44.17	68.6	BUFFET
457	2	1	1	UN	4.5	4.5	REFRIGERANTE
457	3	1	1	UN	4.5	4.5	REFRIGERANTE
458	1	1	1	UN	1	1	CHA
458	2	1	0.254	KG	17.42	68.6	BUFFET
459	1	1	1	UN	1	1	CHA
459	2	1	0.296	KG	20.3	68.6	BUFFET
460	1	1	1	UN	4.5	4.5	SUCO
460	2	1	0.25	KG	17.15	68.6	BUFFET
461	1	1	1	UN	3.5	3.5	AGUA
461	2	1	0.296	KG	20.3	68.6	BUFFET
462	1	1	0.676	KG	46.37	68.6	BUFFET
462	2	1	1	UN	4.5	4.5	REFRIGERANTE
463	1	1	0.664	KG	45.55	68.6	BUFFET
464	1	1	1	UN	3.5	3.5	AGUA
464	2	1	0.412	KG	28.26	68.6	BUFFET
465	1	1	0.642	KG	44.04	68.6	BUFFET
465	2	1	1	UN	4.5	4.5	REFRIGERANTE
466	1	1	0.634	KG	43.49	68.6	BUFFET
466	2	1	1	UN	4.5	4.5	REFRIGERANTE
467	1	1	0.486	KG	33.33	68.6	BUFFET
467	2	1	1	UN	4.5	4.5	REFRIGERANTE
468	1	1	1	UN	4.5	4.5	LIMONADA
468	2	1	1	UN	3.5	3.5	AGUA
468	3	1	0.592	KG	40.61	68.6	BUFFET
469	1	1	1	UN	4.5	4.5	SUCO
469	2	1	0.328	KG	22.5	68.6	BUFFET
470	1	1	0.412	KG	28.26	68.6	BUFFET
471	1	1	0.446	KG	30.59	68.6	BUFFET
472	1	1	0.5	KG	34.56	68.6	BUFFET
473	1	1	0.7	KG	48.15	68.6	BUFFET
474	1	1	0.52	KG	35.81	68.6	BUFFET
475	1	1	1	UN	3.5	3.5	AGUA
475	2	1	0.464	KG	31.83	68.6	BUFFET
476	1	1	0.436	KG	29.9	68.6	BUFFET
476	2	1	1	UN	4.5	4.5	REFRIGERANTE
477	1	1	1	UN	3.5	3.5	AGUA
477	2	1	0.4	KG	27.44	68.6	BUFFET
478	1	1	0.412	KG	28.26	68.6	BUFFET
478	2	1	1	UN	3.2	3.2	DOCINHOS
479	1	1	0.346	KG	23.73	68.6	BUFFET
480	1	1	0.404	KG	27.71	68.6	BUFFET
481	1	1	0.532	KG	36.49	68.6	BUFFET
481	2	1	1	UN	4.5	4.5	REFRIGERANTE
482	1	1	0.482	KG	33.06	68.6	BUFFET
482	2	1	1	UN	4.5	4.5	CERVEJA
483	1	1	0.624	KG	42.8	68.6	BUFFET
483	2	1	1	UN	4.5	4.5	REFRIGERANTE
483	3	1	3	UN	9.6	3.2	DOCINHOS
484	1	1	1	UN	1	1	CHA
484	2	1	0.442	KG	30.32	68.6	BUFFET
485	1	1	1	UN	3.5	3.5	AGUA
485	2	1	0.762	KG	52.27	68.6	BUFFET
486	1	1	0.142	KG	9.74	68.6	BUFFET
487	1	1	0.176	KG	12.07	68.6	BUFFET
488	1	1	0.39	KG	26.75	68.6	BUFFET
489	1	1	0.378	KG	25.93	68.6	BUFFET
490	1	1	1	UN	1	1	CHA
490	2	1	0.898	KG	61.6	68.6	BUFFET
491	1	1	1	UN	4.5	4.5	LIMONADA
491	2	1	1.04	KG	71.34	68.6	BUFFET
491	3	1	1	UN	4.5	4.5	REFRIGERANTE
492	1	1	1	UN	3.5	3.5	AGUA
492	2	1	0.972	KG	66.67	68.6	BUFFET
492	3	1	1	UN	4.5	4.5	CERVEJA
493	1	1	1	UN	3.5	3.5	AGUA
493	2	1	0.464	KG	31.83	68.6	BUFFET
494	1	1	0.564	KG	38.69	68.6	BUFFET
494	2	1	1	UN	4.5	4.5	REFRIGERANTE
495	1	1	1	UN	1	1	CHA
495	2	1	0.332	KG	22.77	68.6	BUFFET
496	1	1	1	UN	1	1	CHA
496	2	1	0.642	KG	44.04	68.6	BUFFET
497	1	1	0.314	KG	21.54	68.6	BUFFET
498	1	1	0.306	KG	20.99	68.6	BUFFET
498	2	1	1	UN	4.5	4.5	REFRIGERANTE
499	1	1	1	UN	3.5	3.5	AGUA
499	2	1	0.298	KG	20.44	68.6	BUFFET
500	1	1	1	UN	12	12	SOBREMESA
500	2	1	0.38	KG	26.06	68.6	BUFFET
500	3	1	1	UN	4.5	4.5	REFRIGERANTE
